solution,permutation,col5,col4,col3,col2,col1,col0
abcbcacabcbaacbbac,abc,36.0,30,25,16,10,5
abcbcacabcbaacbbac,acb,36.0,31,27,19,10,0
abcbcacabcbaacbbac,bac,36.0,36,28,22,14,6
abcbcacabcbaacbbac,bca,36.0,31,21,13,4,0
abcbcacabcbaacbbac,cab,36.0,36,28,16,8,0
abcbcacabcbaacbbac,cba,36.0,36,31,22,10,5
abccabbcacbabacacb,abc,36.0,30,22,14,8,0
abccabbcacbabacacb,acb,36.0,31,26,20,11,6
abccabbcacbabacacb,bac,36.0,36,32,23,15,5
abccabbcacbabacacb,bca,36.0,31,26,14,5,0
abccabbcacbabacacb,cab,36.0,36,26,17,9,5
abccabbcacbabacacb,cba,36.0,36,28,20,8,0
abccbabaccabcabbac,abc,36.0,30,26,18,10,5
abccbabaccabcabbac,acb,36.0,31,26,17,8,0
abccbabaccabcabbac,bac,36.0,36,28,16,10,6
abccbabaccabcabbac,bca,36.0,31,26,17,8,0
abccbabaccabcabbac,cab,36.0,36,28,22,10,0
abccbabaccabcabbac,cba,36.0,36,26,18,10,5
abccbabaccabcbaabc,abc,36.0,30,26,18,10,6
abccbabaccabcbaabc,acb,36.0,31,26,17,8,0
abccbabaccabcbaabc,bac,36.0,36,28,16,10,5
abccbabaccabcbaabc,bca,36.0,31,26,17,8,0
abccbabaccabcbaabc,cab,36.0,36,28,22,10,5
abccbabaccabcbaabc,cba,36.0,36,26,18,10,0
abccbabcaacbcabbac,abc,36.0,30,26,18,10,5
abccbabcaacbcabbac,acb,36.0,31,26,20,8,0
abccbabcaacbcabbac,bac,36.0,36,28,19,10,6
abccbabcaacbcabbac,bca,36.0,31,26,14,8,0
abccbabcaacbcabbac,cab,36.0,36,28,19,10,0
abccbabcaacbcabbac,cba,36.0,36,26,18,10,5
abccbabcaacbcbaabc,abc,36.0,30,26,18,10,6
abccbabcaacbcbaabc,acb,36.0,31,26,20,8,0
abccbabcaacbcbaabc,bac,36.0,36,28,19,10,5
abccbabcaacbcbaabc,bca,36.0,31,26,14,8,0
abccbabcaacbcbaabc,cab,36.0,36,28,19,10,5
abccbabcaacbcbaabc,cba,36.0,36,26,18,10,0
abccbacabbacbaccab,abc,36.0,30,26,17,8,0
abccbacabbacbaccab,acb,36.0,31,26,18,10,5
abccbacabbacbaccab,bac,36.0,36,28,22,10,0
abccbacabbacbaccab,bca,36.0,31,26,18,10,5
abccbacabbacbaccab,cab,36.0,36,28,16,10,6
abccbacabbacbaccab,cba,36.0,36,26,17,8,0
abccbacabbacbcaacb,abc,36.0,30,26,17,8,0
abccbacabbacbcaacb,acb,36.0,31,26,18,10,6
abccbacabbacbcaacb,bac,36.0,36,28,22,10,5
abccbacabbacbcaacb,bca,36.0,31,26,18,10,0
abccbacabbacbcaacb,cab,36.0,36,28,16,10,5
abccbacabbacbcaacb,cba,36.0,36,26,17,8,0
abccbacbaabcbaccab,abc,36.0,30,26,20,8,0
abccbacbaabcbaccab,acb,36.0,31,26,18,10,5
abccbacbaabcbaccab,bac,36.0,36,28,19,10,0
abccbacbaabcbaccab,bca,36.0,31,26,18,10,5
abccbacbaabcbaccab,cab,36.0,36,28,19,10,6
abccbacbaabcbaccab,cba,36.0,36,26,14,8,0
abccbacbaabcbcaacb,abc,36.0,30,26,20,8,0
abccbacbaabcbcaacb,acb,36.0,31,26,18,10,6
abccbacbaabcbcaacb,bac,36.0,36,28,19,10,5
abccbacbaabcbcaacb,bca,36.0,31,26,18,10,0
abccbacbaabcbcaacb,cab,36.0,36,28,19,10,5
abccbacbaabcbcaacb,cba,36.0,36,26,14,8,0
