solution,permutation,col5,col4,col3,col2,col1,col0,,6,5,4,3,2,1
abcbcacabcbaacbbac,bca,36,31,21,13,4,0,,36,30,21,13,4,0
abccabbcacbabacacb,abc,36,30,22,14,8,0,,36,33.33333333,26.66666667,18,9.333333333,2.666666667
abccbabcaacbcabbac,bca,36,31,26,14,8,0,,36,36,32,23,15,6
abccbabcaacbcbaabc,bca,36,31,26,14,8,0,,,,,,,
abccbacbaabcbaccab,cba,36,36,26,14,8,0,,,,,,,
abccbacbaabcbcaacb,cba,36,36,26,14,8,0,,,,,,,
abccabbcacbabacacb,bca,36,31,26,14,5,0,,,,,,,
abcbcacabcbaacbbac,abc,36,30,25,16,10,5,,,,,,,
abccbabaccabcabbac,bac,36,36,28,16,10,6,,,,,,,
abccbabaccabcbaabc,bac,36,36,28,16,10,5,,,,,,,
abccbacabbacbaccab,cab,36,36,28,16,10,6,,,,,,,
abccbacabbacbcaacb,cab,36,36,28,16,10,5,,,,,,,
abcbcacabcbaacbbac,cab,36,36,28,16,8,0,,,,,,,
abccabbcacbabacacb,cab,36,36,26,17,9,5,,,,,,,
abccbabaccabcabbac,acb,36,31,26,17,8,0,,,,,,,
abccbabaccabcabbac,bca,36,31,26,17,8,0,,,,,,,
abccbabaccabcbaabc,acb,36,31,26,17,8,0,,,,,,,
abccbabaccabcbaabc,bca,36,31,26,17,8,0,,,,,,,
abccbacabbacbaccab,abc,36,30,26,17,8,0,,,,,,,
abccbacabbacbaccab,cba,36,36,26,17,8,0,,,,,,,
abccbacabbacbcaacb,abc,36,30,26,17,8,0,,,,,,,
abccbacabbacbcaacb,cba,36,36,26,17,8,0,,,,,,,
abccbabaccabcabbac,abc,36,30,26,18,10,5,,,,,,,
abccbabaccabcabbac,cba,36,36,26,18,10,5,,,,,,,
abccbabaccabcbaabc,abc,36,30,26,18,10,6,,,,,,,
abccbabaccabcbaabc,cba,36,36,26,18,10,0,,,,,,,
abccbabcaacbcabbac,abc,36,30,26,18,10,5,,,,,,,
abccbabcaacbcabbac,cba,36,36,26,18,10,5,,,,,,,
abccbabcaacbcbaabc,abc,36,30,26,18,10,6,,,,,,,
abccbabcaacbcbaabc,cba,36,36,26,18,10,0,,,,,,,
abccbacabbacbaccab,acb,36,31,26,18,10,5,,,,,,,
abccbacabbacbaccab,bca,36,31,26,18,10,5,,,,,,,
abccbacabbacbcaacb,acb,36,31,26,18,10,6,,,,,,,
abccbacabbacbcaacb,bca,36,31,26,18,10,0,,,,,,,
abccbacbaabcbaccab,acb,36,31,26,18,10,5,,,,,,,
abccbacbaabcbaccab,bca,36,31,26,18,10,5,,,,,,,
abccbacbaabcbcaacb,acb,36,31,26,18,10,6,,,,,,,
abccbacbaabcbcaacb,bca,36,31,26,18,10,0,,,,,,,
abcbcacabcbaacbbac,acb,36,31,27,19,10,0,,,,,,,
abccbabcaacbcabbac,bac,36,36,28,19,10,6,,,,,,,
abccbabcaacbcabbac,cab,36,36,28,19,10,0,,,,,,,
abccbabcaacbcbaabc,bac,36,36,28,19,10,5,,,,,,,
abccbabcaacbcbaabc,cab,36,36,28,19,10,5,,,,,,,
abccbacbaabcbaccab,bac,36,36,28,19,10,0,,,,,,,
abccbacbaabcbaccab,cab,36,36,28,19,10,6,,,,,,,
abccbacbaabcbcaacb,bac,36,36,28,19,10,5,,,,,,,
abccbacbaabcbcaacb,cab,36,36,28,19,10,5,,,,,,,
abccabbcacbabacacb,acb,36,31,26,20,11,6,,,,,,,
abccabbcacbabacacb,cba,36,36,28,20,8,0,,,,,,,
abccbabcaacbcabbac,acb,36,31,26,20,8,0,,,,,,,
abccbabcaacbcbaabc,acb,36,31,26,20,8,0,,,,,,,
abccbacbaabcbaccab,abc,36,30,26,20,8,0,,,,,,,
abccbacbaabcbcaacb,abc,36,30,26,20,8,0,,,,,,,
abcbcacabcbaacbbac,bac,36,36,28,22,14,6,,,,,,,
abcbcacabcbaacbbac,cba,36,36,31,22,10,5,,,,,,,
abccbabaccabcabbac,cab,36,36,28,22,10,0,,,,,,,
abccbabaccabcbaabc,cab,36,36,28,22,10,5,,,,,,,
abccbacabbacbaccab,bac,36,36,28,22,10,0,,,,,,,
abccbacabbacbcaacb,bac,36,36,28,22,10,5,,,,,,,
abccabbcacbabacacb,bac,36,36,32,23,15,5,,,,,,,
